Estratégia de Vacinação contra HPV - 2015
Coberturas vacinais - HPV Quadrivalente D2 - CSV - Sexo feminino de 9 a 12 anos de idade
UF;REGIONAL;NOM_MUN;09A-POP;09A-DOS;09A-COB;10A-POP;10A-DOS;10A-COB;11A-POP;11A-DOS;11A-COB;12A-POP;12A-DOS;12A-COB;TOT-POP-09-12;TOT-DOS-09-12;TOT-COB-09-12
PR;RS TOLEDO;411722 - NOVA SANTA ROSA;26;8;30,77;56;17;30,36;61;26;42,62;32;24;75,00;175;75;42,86;
PR;RS TOLEDO;410715 - DIAMANTE D'OESTE;22;12;53,33;48;22;45,83;51;24;47,06;26;9;33,96;148;67;45,27;
PR;RS TOLEDO;410200 - ASSIS CHATEAUBRIAND;114;40;35,09;236;83;35,17;242;123;50,83;125;68;54,40;717;314;43,79;
PR;RS TOLEDO;410753 - ENTRE RIOS DO OESTE;14;18;124,14;29;13;44,83;29;17;58,62;14;8;57,14;86;56;64,74;
PR;RS TOLEDO;411745 - OURO VERDE DO OESTE;22;7;31,82;46;26;56,52;47;32;68,09;24;14;57,14;139;79;56,63;
PR;RS TOLEDO;412575 - SAO PEDRO DO IGUACU;25;11;44,00;52;23;44,23;53;34;64,15;27;10;37,04;157;78;49,68;
PR;RS TOLEDO;412545 - SAO JOSE DAS PALMEIRAS;15;1;6,45;32;0;0,00;34;1;2,94;17;5;29,41;98;7;7,11;
PR;RS TOLEDO;411460 - MARECHAL CANDIDO RONDON;170;33;19,35;355;87;24,51;370;116;31,35;192;53;27,60;1087;289;26,57;
PR;RS TOLEDO;;1337;461;34,48;2784;909;32,65;2896;1277;44,10;1498;568;37,92;8515;3215;37,76;
PR;RS MARINGA;410115 - ANGULO;10;13;123,81;22;17;77,27;23;14;60,87;12;3;25,00;67;47;69,63;
PR;RS MARINGA;410780 - FLORAI;13;7;53,85;29;27;93,10;32;18;56,25;17;1;5,71;91;53;57,92;
PR;RS MARINGA;411110 - ITAMBE;20;13;65,00;41;21;51,22;41;37;90,24;20;11;53,66;122;82;66,94;
PR;RS MARINGA;411360 - LOBATO;14;17;117,24;30;37;123,33;31;29;93,55;16;2;12,50;91;85;92,90;
PR;RS MARINGA;410210 - ASTORGA;82;9;10,98;172;35;20,35;181;72;39,78;94;16;17,02;529;132;24,95;
PR;RS MARINGA;410220 - ATALAIA;12;10;83,33;27;11;40,74;30;21;70,00;16;1;6,06;85;43;50,29;
PR;RS MARINGA;410810 - FLORIDA;9;8;84,21;20;15;75,00;21;26;123,81;10;5;47,62;61;54;88,52;
PR;RS MARINGA;411160 - IVATUBA;9;5;52,63;21;16;76,19;23;11;47,83;13;7;51,85;67;39;58,21;
PR;RS MARINGA;411520 - MARINGA;1109;425;38,32;2307;866;37,54;2410;1155;47,93;1256;502;39,95;7082;2948;41,62;
PR;RS MARINGA;412625 - SARANDI;334;137;41,02;704;173;24,57;746;251;33,65;387;125;32,26;2171;686;31,59;
PR;RS MARINGA;412830 - UNIFLOR;10;5;50,00;21;16;76,19;23;17;73,91;12;3;24,00;66;41;61,65;
PR;RS MARINGA;410590 - COLORADO;77;41;53,25;159;66;41,51;164;90;54,88;84;30;35,71;484;227;46,90;
PR;RS MARINGA;410790 - FLORESTA;19;8;41,03;39;13;33,33;40;27;67,50;20;6;29,27;119;54;45,38;
PR;RS MARINGA;411000 - IGUARACU;13;6;46,15;27;22;81,48;27;22;81,48;14;8;55,17;81;58;71,17;
PR;RS MARINGA;411090 - ITAGUAJE;17;9;52,94;37;18;48,65;42;23;54,76;22;9;40,00;118;59;49,79;
PR;RS MARINGA;411480 - MARIALVA;109;54;49,54;222;103;46,40;226;151;66,81;116;46;39,66;673;354;52,60;
PR;RS MARINGA;411740 - OURIZONA;11;4;36,36;22;17;77,27;21;30;142,86;10;4;38,10;64;55;85,27;
PR;RS MARINGA;411750 - PAICANDU;141;72;50,88;294;139;47,28;306;159;51,96;158;37;23,42;899;407;45,25;
PR;RS MARINGA;412340 - SANTA FE;36;20;55,56;76;52;68,42;81;53;65,43;42;10;23,53;235;135;57,32;
PR;RS MARINGA;411410 - MANDAGUACU;78;10;12,82;164;15;9,15;173;37;21,39;90;18;20,00;505;80;15,84;
PR;RS MARINGA;411420 - MANDAGUARI;116;20;17,24;241;50;20,75;251;110;43,82;129;35;27,03;737;215;29,15;
PR;RS MARINGA;411810 - PARANACITY;40;40;100,00;85;46;54,12;91;65;71,43;48;11;22,92;264;162;61,36;
PR;RS MARINGA;412360 - SANTA INES;7;3;42,86;14;16;114,29;15;13;86,67;8;2;25,00;44;34;77,27;
PR;RS MARINGA;412450 - SANTO INACIO;17;4;22,86;36;22;61,11;37;23;62,16;19;7;35,90;110;56;50,91;
PR;RS MARINGA;410730 - DOUTOR CAMARGO;18;12;66,67;36;26;72,22;36;36;100,00;18;6;32,43;108;80;73,73;
PR;RS MARINGA;411630 - MUNHOZ DE MELO;14;9;64,29;30;9;30,00;32;12;37,50;17;4;23,53;93;34;36,56;
PR;RS MARINGA;411690 - NOVA ESPERANCA;99;48;48,48;205;80;39,02;211;115;54,50;107;52;48,37;622;295;47,39;
PR;RS MARINGA;412530 - SAO JORGE DO IVAI;17;11;62,86;38;29;76,32;40;25;62,50;21;5;23,81;116;70;60,09;
PR;RS MARINGA;411640 - NOSSA SENHORA DAS GRACAS;13;10;76,92;29;17;58,62;32;15;46,88;17;8;45,71;91;50;54,64;
PR;RS MARINGA;412040 - PRESIDENTE CASTELO BRANCO;18;19;102,70;39;22;56,41;41;40;97,56;21;4;19,05;119;85;71,13;
PR;RS MARINGA;;2486;1049;42,19;5187;1996;38,48;5427;2697;49,70;2823;978;34,64;15923;6720;42,20;
PR;RS CASCAVEL;410105 - ANAHY;11;7;60,87;25;11;44,00;28;14;50,00;14;6;41,38;79;38;48,10;
PR;RS CASCAVEL;410975 - IBEMA;30;11;36,67;60;28;46,67;60;41;68,33;30;16;53,33;180;96;53,33;
PR;RS CASCAVEL;411005 - IGUATU;9;0;0,00;20;11;55,00;21;17;80,95;11;5;45,45;61;33;54,10;
PR;RS CASCAVEL;410335 - BRAGANEY;22;16;72,73;46;29;63,04;47;42;89,36;23;16;68,09;138;103;74,37;
PR;RS CASCAVEL;410480 - CASCAVEL;1116;250;22,39;2330;535;22,96;2436;832;34,15;1263;638;50,49;7146;2255;31,56;
PR;RS CASCAVEL;410530 - CEU AZUL;42;18;42,86;88;36;40,91;91;58;63,74;47;14;29,79;268;126;47,01;
PR;RS CASCAVEL;410630 - CORBELIA;59;27;45,76;123;57;46,34;128;91;71,09;67;23;34,33;377;198;52,52;
PR;RS CASCAVEL;411275 - JESUITAS;29;14;48,28;61;24;39,34;64;34;53,13;33;10;30,30;187;82;43,85;
PR;RS CASCAVEL;411345 - LINDOESTE;19;16;82,05;42;22;52,38;46;30;65,22;24;17;70,83;131;85;64,64;
PR;RS CASCAVEL;410345 - CAFELANDIA;58;16;27,59;124;27;21,77;133;30;22,56;69;6;8,70;384;79;20,57;
PR;RS CASCAVEL;410500 - CATANDUVAS;44;40;89,89;92;70;76,09;96;73;76,04;50;24;48,00;282;207;73,27;
PR;RS CASCAVEL;410930 - GUARANIACU;61;19;31,15;127;61;48,03;132;54;40,91;68;12;17,65;388;146;37,63;
PR;RS CASCAVEL;411670 - NOVA AURORA;40;25;61,73;82;52;63,41;83;71;85,54;42;19;44,71;248;167;67,34;
PR;RS CASCAVEL;412382 - SANTA LUCIA;16;8;50,00;32;6;18,75;32;16;50,00;15;6;38,71;95;36;37,70;
PR;RS CASCAVEL;410405 - CAMPO BONITO;20;5;24,39;43;18;41,86;44;27;61,36;22;7;31,11;130;57;43,85;
PR;RS CASCAVEL;410712 - DIAMANTE DO SUL;19;14;73,68;41;21;51,22;44;32;72,73;22;6;26,67;126;73;57,71;
PR;RS CASCAVEL;410820 - FORMOSA DO OESTE;21;13;61,90;44;25;56,82;45;29;64,44;23;5;21,28;133;72;53,93;
PR;RS CASCAVEL;411065 - IRACEMA DO OESTE;8;7;82,35;18;8;44,44;17;12;70,59;9;7;77,78;52;34;64,76;
PR;RS CASCAVEL;412090 - QUEDAS DO IGUACU;151;84;55,63;310;158;50,97;319;207;64,89;161;34;21,05;941;483;51,30;
PR;RS CASCAVEL;412855 - VERA CRUZ DO OESTE;36;23;63,01;76;47;61,84;79;55;69,62;40;11;27,16;232;136;58,62;
PR;RS CASCAVEL;412402 - SANTA TEREZA DO OESTE;44;21;47,19;95;48;50,53;101;54;53,47;53;17;32,08;293;140;47,70;
PR;RS CASCAVEL;412785 - TRES BARRAS DO PARANA;53;38;71,03;112;87;77,68;117;93;79,49;60;12;20,00;342;230;67,15;
PR;RS CASCAVEL;410305 - BOA VISTA DA APARECIDA;36;21;58,33;75;38;50,67;78;49;62,82;39;8;20,25;228;116;50,77;
PR;RS CASCAVEL;410754 - ESPIGAO ALTO DO IGUACU;23;21;91,30;46;23;50,00;45;31;68,89;22;14;62,22;136;89;65,20;
PR;RS CASCAVEL;410460 - CAPITAO LEONIDAS MARQUES;62;28;44,80;132;55;41,67;140;66;47,14;73;23;31,51;407;172;42,21;
PR;RS CASCAVEL;;2034;742;36,47;4244;1497;35,27;4426;2058;46,50;2286;956;41,82;12990;5253;40,44;
PR;RS CIANORTE;411240 - JAPURA;28;6;21,43;58;30;51,72;60;35;58,33;31;12;38,71;177;83;46,89;
PR;RS CIANORTE;412260 - RONDON;34;8;23,53;70;26;37,14;71;48;67,61;37;14;37,84;212;96;45,28;
PR;RS CIANORTE;411300 - JUSSARA;27;14;51,85;54;18;33,33;55;49;89,09;28;5;17,86;164;86;52,44;
PR;RS CIANORTE;410550 - CIANORTE;245;87;35,44;512;205;40,04;535;287;53,64;278;101;36,27;1571;680;43,28;
PR;RS CIANORTE;412610 - SAO TOME;20;20;100,00;42;23;54,76;44;27;61,36;23;5;21,74;129;75;58,14;
PR;RS CIANORTE;412680 - TAPEJARA;57;25;43,86;122;37;30,33;132;60;45,45;69;15;21,58;380;137;36,01;
PR;RS CIANORTE;410910 - GUAPOREMA;7;4;53,33;16;5;31,25;17;14;82,35;9;7;77,78;49;30;60,61;
PR;RS CIANORTE;411040 - INDIANOPOLIS;14;11;75,86;31;24;77,42;32;28;87,50;17;7;41,18;94;70;74,07;
PR;RS CIANORTE;410560 - CIDADE GAUCHA;46;11;23,66;97;27;27,84;102;49;48,04;52;20;38,10;298;107;35,91;
PR;RS CIANORTE;412790 - TUNEIRAS DO OESTE;33;22;66,67;70;24;34,29;75;44;58,67;39;2;5,13;217;92;42,40;
PR;RS CIANORTE;412555 - SAO MANOEL DO PARANA;8;1;12,50;18;11;61,11;20;10;50,00;10;2;19,05;56;24;42,48;
PR;RS CIANORTE;;521;209;40,12;1090;430;39,45;1143;651;56,96;595;190;31,93;3349;1480;44,19;
PR;RS IVAIPORA;410165 - ARAPUA;14;8;55,17;30;10;33,33;31;24;77,42;16;8;48,48;92;50;54,35;
PR;RS IVAIPORA;411150 - IVAIPORA;116;46;39,66;235;105;44,68;235;137;58,30;119;60;50,21;705;348;49,33;
PR;RS IVAIPORA;411573 - MATO RICO;15;11;70,97;31;20;64,52;29;20;68,97;14;5;35,71;89;56;62,57;
PR;RS IVAIPORA;411375 - LUNARDELLI;21;17;79,07;44;33;75,00;45;48;106,67;22;10;44,44;133;108;81,20;
PR;RS IVAIPORA;411727 - NOVA TEBAS;30;5;16,67;65;14;21,54;72;21;29,17;38;6;15,79;205;46;22,44;
PR;RS IVAIPORA;410685 - CRUZMALTINA;10;1;9,52;23;0;0,00;25;8;32,00;13;4;30,77;71;13;18,18;
PR;RS IVAIPORA;411342 - LIDIANOPOLIS;13;8;61,54;26;15;57,69;27;19;70,37;14;5;35,71;80;47;58,75;
PR;RS IVAIPORA;411450 - MANOEL RIBAS;58;32;54,70;122;44;36,07;127;52;40,94;65;26;39,69;373;154;41,29;
PR;RS IVAIPORA;410855 - GODOY MOREIRA;12;8;64,00;27;22;81,48;28;25;89,29;14;7;48,28;82;62;75,61;
PR;RS IVAIPORA;411250 - JARDIM ALEGRE;45;15;32,97;94;47;50,00;97;56;57,73;49;17;34,34;286;135;47,20;
PR;RS IVAIPORA;412265 - ROSARIO DO IVAI;21;9;41,86;47;17;36,17;50;10;20,00;26;0;0,00;144;36;24,91;
PR;RS IVAIPORA;410185 - ARIRANHA DO IVAI;9;2;21,05;21;12;57,14;22;21;95,45;11;5;43,48;64;40;62,50;
PR;RS IVAIPORA;410440 - CANDIDO DE ABREU;80;43;53,42;168;85;50,60;177;134;75,71;90;63;69,61;516;325;62,98;
PR;RS IVAIPORA;412500 - SAO JOAO DO IVAI;42;27;63,53;88;48;54,55;91;62;68,13;46;5;10,75;268;142;52,99;
PR;RS IVAIPORA;412217 - RIO BRANCO DO IVAI;20;10;50,00;43;28;65,12;46;32;69,57;24;4;16,67;133;74;55,64;
PR;RS IVAIPORA;412385 - SANTA MARIA DO OESTE;54;0;0,00;115;1;0,87;121;0;0,00;63;3;4,76;353;4;1,13;
PR;RS IVAIPORA;;565;242;42,79;1179;501;42,49;1223;669;54,70;628;228;36,28;3596;1640;45,61;
PR;RS LONDRINA;410190 - ASSAI;57;31;53,91;120;39;32,50;126;62;49,21;65;16;24,43;369;148;40,11;
PR;RS LONDRINA;410370 - CAMBE;371;80;21,56;773;174;22,51;808;303;37,50;416;149;35,82;2368;706;29,81;
PR;RS LONDRINA;410340 - CAFEARA;10;5;50,00;20;12;60,00;20;21;105,00;9;10;105,26;59;48;80,67;
PR;RS LONDRINA;410920 - GUARACI;20;3;14,63;42;19;45,24;43;25;58,14;22;8;36,36;127;55;43,14;
PR;RS LONDRINA;410980 - IBIPORA;188;52;27,66;386;141;36,53;397;225;56,68;203;97;47,78;1174;515;43,87;
PR;RS LONDRINA;411370 - LONDRINA;1784;484;27,12;3705;1026;27,69;3858;1524;39,50;1990;678;34,06;11338;3712;32,74;
PR;RS LONDRINA;412000 - PORECATU;51;17;33,33;106;40;37,74;110;55;50,00;57;19;33,33;324;131;40,43;
PR;RS LONDRINA;412240 - ROLANDIA;204;44;21,52;424;112;26,42;441;144;32,65;227;83;36,56;1296;383;29,54;
PR;RS LONDRINA;412667 - TAMARANA;57;15;26,09;120;29;24,17;127;46;36,22;65;17;26,15;369;107;28,96;
PR;RS LONDRINA;411190 - JAGUAPITA;43;19;43,68;91;37;40,66;96;43;44,79;49;14;28,28;280;113;40,36;
PR;RS LONDRINA;411600 - MIRASELVA;7;0;0,00;15;1;6,67;15;7;46,67;7;2;26,67;44;10;22,47;
PR;RS LONDRINA;411270 - JATAIZINHO;51;29;56,86;105;69;65,71;107;76;71,03;54;25;45,87;317;199;62,68;
PR;RS LONDRINA;411380 - LUPIONOPOLIS;19;7;35,90;41;17;41,46;44;22;50,00;22;12;54,55;126;58;45,85;
PR;RS LONDRINA;411965 - PITANGUEIRAS;12;10;80,00;25;12;48,00;25;12;48,00;12;2;16,00;75;36;48,00;
PR;RS LONDRINA;412650 - SERTANOPOLIS;54;17;31,19;116;31;26,72;124;37;29,84;64;23;35,66;359;108;30,08;
PR;RS LONDRINA;410800 - FLORESTOPOLIS;39;25;63,29;84;41;48,81;88;68;77,27;46;24;51,61;258;158;61,24;
PR;RS LONDRINA;412033 - PRADO FERREIRA;15;10;66,67;32;19;59,38;33;25;75,76;17;12;68,57;97;66;67,69;
PR;RS LONDRINA;410080 - ALVORADA DO SUL;35;28;80,00;73;43;58,90;76;52;68,42;40;9;22,50;224;132;58,93;
PR;RS LONDRINA;412050 - PRIMEIRO DE MAIO;37;21;56,76;75;28;37,33;76;30;39,47;38;26;67,53;226;105;46,36;
PR;RS LONDRINA;410510 - CENTENARIO DO SUL;43;13;30,23;91;33;36,26;96;32;33,33;50;14;28,00;280;92;32,86;
PR;RS LONDRINA;410280 - BELA VISTA DO PARAISO;53;25;47,17;115;60;52,17;123;71;57,72;64;16;24,81;355;172;48,38;
PR;RS LONDRINA;;3155;935;29,64;6559;1983;30,23;6833;2880;42,15;3523;1256;35,65;20070;7054;35,15;
PR;RS UMUARAMA;411060 - IPORA;54;15;27,52;114;36;31,58;120;45;37,50;62;18;28,80;351;114;32,48;
PR;RS UMUARAMA;411155 - IVATE;27;10;37,04;55;39;70,91;56;30;53,57;29;21;72,41;167;100;59,88;
PR;RS UMUARAMA;411890 - PEROLA;33;6;18,18;67;17;25,37;67;35;52,24;34;12;34,78;201;70;34,74;
PR;RS UMUARAMA;412690 - TAPIRA;21;19;90,48;44;44;100,00;46;46;100,00;24;4;16,67;135;113;83,70;
PR;RS UMUARAMA;412880 - XAMBRE;22;4;17,78;44;13;29,55;43;23;53,49;21;12;57,14;130;52;39,85;
PR;RS UMUARAMA;410050 - ALTONIA;76;41;53,59;161;62;38,51;169;91;53,85;87;39;44,57;494;233;47,17;
PR;RS UMUARAMA;411510 - MARILUZ;46;23;49,46;95;51;53,68;98;65;66,33;49;32;64,65;289;171;59,17;
PR;RS UMUARAMA;411885 - PEROBAL;21;13;60,47;44;32;72,73;44;22;50,00;22;11;48,89;132;78;59,09;
PR;RS UMUARAMA;410990 - ICARAIMA;32;22;68,75;68;48;70,59;73;55;75,34;38;18;47,37;211;143;67,77;
PR;RS UMUARAMA;412810 - UMUARAMA;341;80;23,43;705;219;31,06;728;241;33,10;377;81;21,49;2151;621;28,86;
PR;RS UMUARAMA;410725 - DOURADINA;26;29;109,43;57;73;128,07;60;70;116,67;31;7;22,22;175;179;102,29;
PR;RS UMUARAMA;412862 - VILA ALTA;13;8;61,54;27;21;77,78;28;17;60,71;14;8;55,17;82;54;65,45;
PR;RS UMUARAMA;410070 - ALTO PIQUIRI;34;5;14,49;74;20;27,03;78;25;32,05;41;15;36,14;228;65;28,51;
PR;RS UMUARAMA;411470 - MARIA HELENA;21;6;27,91;45;13;28,89;46;36;78,26;24;6;25,00;136;61;44,69;
PR;RS UMUARAMA;411720 - NOVA OLIMPIA;19;7;36,84;42;14;33,33;46;29;63,04;24;5;20,41;131;55;41,83;
PR;RS UMUARAMA;410347 - CAFEZAL DO SUL;14;4;28,57;30;15;50,00;33;17;51,52;17;4;23,53;94;40;42,55;
PR;RS UMUARAMA;410752 - ESPERANCA NOVA;6;3;46,15;14;12;85,71;15;7;46,67;8;0;0,00;43;22;50,57;
PR;RS UMUARAMA;410832 - FRANCISCO ALVES;23;0;0,00;48;0;0,00;48;3;6,25;25;4;16,00;144;7;4,84;
PR;RS UMUARAMA;410660 - CRUZEIRO DO OESTE;75;28;37,09;162;56;34,57;175;82;46,86;91;24;26,23;504;190;37,70;
PR;RS UMUARAMA;410337 - BRASILANDIA DO SUL;11;4;36,36;22;11;50,00;22;16;72,73;11;7;60,87;66;38;57,14;
PR;RS UMUARAMA;412535 - SAO JORGE DO PATROCINIO;18;16;88,89;38;14;36,84;41;21;51,22;21;9;41,86;118;60;50,63;
PR;RS UMUARAMA;;939;343;36,53;1956;810;41,41;2036;976;47,94;1056;337;31,91;5987;2466;41,19;
PR;RS APUCARANA;411310 - KALORE;12;9;72,00;27;18;66,67;28;27;96,43;15;4;26,67;82;58;70,30;
PR;RS APUCARANA;410380 - CAMBIRA;25;12;48,00;51;23;45,10;52;39;75,00;26;5;18,87;154;79;51,13;
PR;RS APUCARANA;410760 - FAXINAL;66;21;31,82;139;44;31,65;147;76;51,70;76;19;25,00;428;160;37,38;
PR;RS APUCARANA;411550 - MARUMBI;15;7;45,16;33;19;57,58;34;21;61,76;18;6;32,43;101;53;52,48;
PR;RS APUCARANA;412210 - RIO BOM;11;9;81,82;23;24;104,35;23;17;73,91;12;6;50,00;69;56;81,16;
PR;RS APUCARANA;412270 - SABAUDIA;22;10;45,45;48;24;50,00;53;22;41,51;28;12;42,11;151;68;44,88;
PR;RS APUCARANA;410140 - APUCARANA;443;117;26,41;921;247;26,82;960;326;33,96;495;140;28,25;2819;830;29,44;
PR;RS APUCARANA;410150 - ARAPONGAS;383;122;31,81;786;234;29,77;807;266;32,96;412;134;32,48;2389;756;31,65;
PR;RS APUCARANA;410350 - CALIFORNIA;30;19;62,30;64;49;76,56;66;41;62,12;34;5;14,71;194;114;58,61;
PR;RS APUCARANA;410320 - BOM SUCESSO;27;13;48,15;55;25;45,45;56;37;66,07;28;10;35,09;166;85;51,05;
PR;RS APUCARANA;410330 - BORRAZOPOLIS;26;18;69,23;55;29;52,73;60;60;100,00;32;3;9,38;173;110;63,58;
PR;RS APUCARANA;410870 - GRANDES RIOS;25;17;66,67;56;15;26,79;63;28;44,44;33;15;44,78;178;75;42,13;
PR;RS APUCARANA;411575 - MAUA DA SERRA;40;29;71,60;84;51;60,71;87;69;79,31;45;16;35,56;256;165;64,33;
PR;RS APUCARANA;411210 - JANDAIA DO SUL;68;33;48,53;142;68;47,89;147;70;47,62;76;28;36,60;433;199;45,91;
PR;RS APUCARANA;411729 - NOVO ITACOLOMI;8;2;23,53;19;14;73,68;20;3;15,00;11;1;9,09;58;20;34,19;
PR;RS APUCARANA;411490 - MARILANDIA DO SUL;35;19;54,29;70;58;82,86;70;61;87,14;35;18;51,43;210;156;74,29;
PR;RS APUCARANA;412580 - SAO PEDRO DO IVAI;35;27;77,14;75;46;61,33;80;42;52,50;42;23;54,12;232;138;59,35;
PR;RS APUCARANA;;1274;484;37,98;2648;988;37,31;2753;1205;43,77;1422;445;31,28;8098;3122;38,55;
PR;RS PARANAVAI;411030 - INAJA;10;4;38,10;23;15;65,22;25;17;68,00;13;3;22,22;72;39;54,17;
PR;RS PARANAVAI;411350 - LOANDA;77;21;27,10;161;69;42,86;167;70;41,92;86;20;23,26;491;180;36,62;
PR;RS PARANAVAI;410090 - AMAPORA;24;20;83,33;49;31;63,27;50;31;62,00;25;17;66,67;148;99;66,67;
PR;RS PARANAVAI;411590 - MIRADOR;9;5;55,56;18;6;33,33;17;14;82,35;9;2;22,22;53;27;50,94;
PR;RS PARANAVAI;410890 - GUAIRACA;24;15;61,22;50;29;58,00;50;41;82,00;26;8;30,77;150;93;61,79;
PR;RS PARANAVAI;411500 - MARILENA;25;11;43,14;53;27;50,94;56;44;78,57;28;15;52,63;163;97;59,51;
PR;RS PARANAVAI;412670 - TAMBOARA;15;10;66,67;34;15;44,12;37;21;56,76;20;5;25,00;106;51;48,11;
PR;RS PARANAVAI;411840 - PARANAVAI;296;78;26,31;615;182;29,59;640;335;52,34;330;138;41,75;1882;733;38,95;
PR;RS PARANAVAI;412020 - PORTO RICO;9;2;21,05;21;6;28,57;23;7;30,43;12;6;48,00;66;21;31,82;
PR;RS PARANAVAI;412730 - TERRA RICA;55;14;25,23;115;49;42,61;120;79;65,83;62;21;33,60;353;163;46,18;
PR;RS PARANAVAI;410060 - ALTO PARANA;54;26;47,71;112;56;50,00;114;67;58,77;58;19;32,48;339;168;49,56;
PR;RS PARANAVAI;411830 - PARANAPOEMA;11;10;86,96;23;20;86,96;24;14;58,33;12;5;41,67;70;49;69,50;
PR;RS PARANAVAI;412395 - SANTA MONICA;15;8;51,61;32;12;37,50;34;29;85,29;17;6;34,29;99;55;55,56;
PR;RS PARANAVAI;411130 - ITAUNA DO SUL;13;6;46,15;27;12;44,44;28;21;75,00;14;2;13,79;82;41;49,70;
PR;RS PARANAVAI;411260 - JARDIM OLINDA;5;1;18,18;11;4;36,36;12;2;16,67;6;1;16,67;34;8;23,19;
PR;RS PARANAVAI;411710 - NOVA LONDRINA;51;10;19,42;107;20;18,69;111;44;39,64;57;22;38,60;326;96;29,40;
PR;RS PARANAVAI;410670 - CRUZEIRO DO SUL;16;4;24,24;33;18;54,55;32;16;50,00;16;3;18,75;97;41;42,05;
PR;RS PARANAVAI;411800 - PARAISO DO NORTE;44;25;56,18;91;32;35,16;93;60;64,52;48;22;45,83;276;139;50,27;
PR;RS PARANAVAI;410710 - DIAMANTE DO NORTE;19;4;21,05;41;10;24,39;44;18;40,91;23;3;12,77;127;35;27,45;
PR;RS PARANAVAI;412490 - SAO JOAO DO CAIUA;23;9;39,13;50;19;38,00;53;33;62,26;28;13;46,43;154;74;48,05;
PR;RS PARANAVAI;412100 - QUERENCIA DO NORTE;47;32;67,37;102;47;46,08;109;57;52,29;57;17;29,57;316;153;48,42;
PR;RS PARANAVAI;412460 - SAO CARLOS DO IVAI;23;4;17,39;48;8;16,67;51;20;39,22;26;2;7,55;148;34;22,90;
PR;RS PARANAVAI;412590 - SAO PEDRO DO PARANA;9;4;42,11;19;10;52,63;19;10;52,63;10;9;90,00;57;33;57,39;
PR;RS PARANAVAI;411650 - NOVA ALIANCA DO IVAI;5;0;0,00;12;1;8,33;12;0;0,00;6;3;46,15;36;4;11,11;
PR;RS PARANAVAI;411970 - PLANALTINA DO PARANA;16;1;6,06;34;11;32,35;34;10;29,41;17;4;22,86;102;26;25,49;
PR;RS PARANAVAI;412370 - SANTA ISABEL DO IVAI;29;8;27,59;62;16;25,81;65;28;43,08;34;7;20,59;190;59;31,05;
PR;RS PARANAVAI;412420 - SANTO ANTONIO DO CAIUA;11;4;34,78;25;12;48,00;27;17;62,96;14;3;21,43;77;36;46,45;
PR;RS PARANAVAI;412330 - SANTA CRUZ DE MONTE CASTELO;27;15;54,55;55;17;30,91;55;33;60,00;27;17;61,82;165;82;49,70;
PR;RS PARANAVAI;;972;351;36,11;2023;754;37,27;2102;1138;54,14;1088;393;36,10;6185;2636;42,62;
PR;RS JACAREZINHO;410970 - IBAITI;117;54;46,15;242;139;57,44;250;119;47,60;128;29;22,66;737;341;46,27;
